objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
pics01,pics01.jpg,,Zambesi river,Kerstin,1980-04-10,Zambesi river,rivers;Africa;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection,slide No 1,Image;StillImage,image/jpeg,eng,NSS,http://www.nwg.org
pics02,pics02.jpg,,Zambesi river in flood,Kerstin,1982-05-12,Zambesi river,rivers;Africa;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection,slide No 1,Image;StillImage,image/jpeg,eng,NSS,http://www.nwg.org
pics03,pics03.jpg,,Victoria Falls,Kerstin,1986-10-24,Slides by Kerstin,rivers;Africa;Southern Africa;Lakes,Victoria Falls ,-17.93285,25.83066,Slide Collection,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,NWG,http://www.nwg.org
pics04,pics04.jpg,,Victoria Falls in mist,Kerstin,1987-12-12,Slides by Kerstin,rivers;Africa;Southern Africa;Lakes,Victoria Falls ,-17.93285,25.83066,Slide Collection NWG,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,NWG,http://www.nwg.org
pics05,pics05.jpg,,Victoria Falls,Kerstin,1988,Zambesi river,rivers;Africa;waterfalls;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection,slide No 1,Image;StillImage,image/jpeg,eng,NSS,http://www.nwg.org
pics06,pics06.jpg,,Zambesi river,Kerstin,1988,Zambesi river,rivers;Africa;waterfalls;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection,slide no 2,Image;StillImage,image/jpeg,eng,NWG,http://www.nwg.org
pics07,pics07.jpg,,Victoria Falls,Kerstin,1989,Zambesi river,rivers;Africa;waterfalls;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,NWG,http://www.nwg.org
pics08,pics08.jpg,,Stone wall,Kerstin,1989,Zambesi river,rivers;Africa;waterfalls;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection NWG,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,NWG,http://www.nwg.org
pics09,pics09.jpg,,Zambesi River,Kerstin,1989,Zambesi river,rivers;Africa;waterfalls;dams;Victoria Falls,Victoria Falls ,-17.93285,25.83066,Slide Collection NWG,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,NWG,http://www.nwg.org

